Group hierarchy,Region,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
Initial_Cost_Estimate,US East (N. Virginia),Amazon Virtual Private Cloud (VPC),0,74.7,896.4,USD,Number of NAT Gateways (2)
Initial_Cost_Estimate,US East (N. Virginia),Amazon Route 53,0,0.9,10.8,USD,Hosted Zones (1)
Initial_Cost_Estimate,US East (N. Virginia),Amazon EC2,0,385.22,4622.64,USD,"Operating system (Linux), Quantity (2), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (50 GB), Instance type (a1.4xlarge)"
Initial_Cost_Estimate,US East (N. Virginia),Amazon EC2,0,3418.88,41026.56,USD,"Operating system (Linux), Quantity (2), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (100 GB), Instance type (c5a.24xlarge)"
Initial_Cost_Estimate,US East (N. Virginia),Amazon RDS for MySQL,0,3981.04,47772.48,USD,"Quantity (1), Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (200 GB), Additional backup storage (1 TB), Multi AZ"
Initial_Cost_Estimate,US East (N. Virginia),Amazon CloudWatch,0,180.68,2168.16,USD,
Initial_Cost_Estimate,US East (N. Virginia),S3 Standard,0,118.66,1423.92,USD,S3 Standard storage (5 TB per month)
Initial_Cost_Estimate,US East (N. Virginia),S3 Glacier,0,204.91,2458.92,USD,S3 Glacier storage (50 TB per month)
Initial_Cost_Estimate,US East (N. Virginia),Data Transfer,0,8.91,106.92,USD," Inbound (from: Internet) 1 TB per month 
 Outbound (to: Internet) 100 GB per month 
"
Initial_Cost_Estimate,US East (N. Virginia),Amazon Elastic IP,0,0,0,USD,"Number of EC2 instances (4), Number of EIPs per instance (1)"
Initial_Cost_Estimate,US East (N. Virginia),AWS Key Management Service,0,70,840,USD,"Number of customer managed Customer Master Keys (CMK) (10), Number of symmetric requests (20000000)"
Initial_Cost_Estimate,US East (N. Virginia),Amazon CloudFront,0,500,3000,USD,"5 TB Data Transfer out, 10 Million HTTPS requests"
Initial_Cost_Estimate,US East (N. Virginia),Elastic Load Balancing,0,687,8244,USD,Number of Application Load Balancers (2)
,,,,,,,
"AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.",,,,,,,
1) RDS is selected as Multi-AZ so even though it show quantity as 1 it is taking care of cost included for Read Replica.,,,,,,,
2) Clounfront cost is not available in Cost Estimator. So it was added based on CloudFront pricing model. ,,,,,,,
