Event ID,Event time,User name,Event name,Resource type,Resources,AWS access key,AWS region,Error code,Source IP address
4da84a4a-25eb-4cc9-8704-15d5197fb788,"2020-07-07, 06:10:13 PM",Accountant,ChangePassword,,,,us-east-1,,AWS Internal
bc52caa3-b4de-40ac-98c2-287bc36f5148,"2020-07-07, 06:09:57 PM",Accountant,ConsoleLogin,,,,us-east-1,,68.197.65.214
02b42ce0-0437-45a9-94d4-7e76065abb43,"2020-07-07, 06:02:53 PM",CloudTrail,CreateTrail,CloudTrail Trail and 1 more,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-2:015927233739:trail/Udacity_Trail""},{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""udacitytraillog""}]",,us-east-2,,68.197.65.214
2c4572ad-a0f9-40bf-ad2b-bb3aa21358e4,"2020-07-07, 06:02:53 PM",CloudTrail,StartLogging,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""}]",,us-east-2,,68.197.65.214
7094a08f-2d80-40b2-9c80-8ff96cb20576,"2020-07-07, 06:02:53 PM",CloudTrail,PutBucketPolicy,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""udacitytraillog""}]",,us-east-2,,68.197.65.214
7607afa1-9a88-402c-9487-512f04631370,"2020-07-07, 06:02:53 PM",CloudTrail,PutEventSelectors,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-2:015927233739:trail/Udacity_Trail""}]",,us-east-2,,68.197.65.214
a1b0e082-3121-4797-a015-5f747a39b817,"2020-07-07, 06:02:52 PM",CloudTrail,CreateBucket,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""udacitytraillog""}]",,us-east-2,,68.197.65.214
9ebaf3d2-6d49-4d8f-b631-06694d94e26f,"2020-07-07, 05:57:00 PM",CloudTrail,ChangePassword,,,,us-east-1,,AWS Internal
ebeeee2a-6014-42b1-9805-87516a583558,"2020-07-07, 05:54:58 PM",CloudTrail,ConsoleLogin,,,,us-east-1,,68.197.65.214
73f73ae9-2539-468b-955d-46998f39435e,"2020-07-07, 05:51:27 PM",root,GenerateServiceLastAccessedDetails,,,,us-east-1,,68.197.65.214
34ea7901-6ebc-4f7e-b980-d10d03a70f3b,"2020-07-07, 05:50:15 PM",root,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]",,us-east-1,,68.197.65.214
38c9f32c-dcbf-4197-9faa-265ae3837581,"2020-07-07, 05:50:14 PM",root,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::015927233739:user/Accountant""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDAQHNKWJTFZ3Y3265DZ""}]",,us-east-1,,68.197.65.214
5af60669-b129-4d99-91c7-4a8eba55774f,"2020-07-07, 05:50:14 PM",root,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,68.197.65.214
7dd2903a-ee87-4d11-85cf-71d524b275c2,"2020-07-07, 05:50:14 PM",root,AttachUserPolicy,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/IAMUserChangePassword""}]",,us-east-1,,68.197.65.214
86da3a2d-9b4a-4e41-80f1-fcc83c8400b7,"2020-07-07, 05:49:10 PM",root,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,68.197.65.214
990a10e6-1dee-4b1b-9561-209f20253a4b,"2020-07-07, 05:49:10 PM",root,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""}]",,us-east-1,,68.197.65.214
a536f3bb-7e3f-44c3-be38-838fdb223156,"2020-07-07, 05:49:10 PM",root,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::015927233739:user/CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDAQHNKWJTFX7K7SSG4Y""}]",,us-east-1,,68.197.65.214
e9e0eea2-bd43-4734-ba35-6d681387fab5,"2020-07-07, 05:49:10 PM",root,AttachUserPolicy,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/IAMUserChangePassword""}]",,us-east-1,,68.197.65.214
a7e9a0fe-9c7a-49fa-b79e-e91906199821,"2020-07-07, 05:46:50 PM",root,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/job-function/Billing""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,68.197.65.214
cbc4ff32-21ba-4f49-9e68-5843ba96ffe8,"2020-07-07, 05:46:50 PM",root,CreateGroup,IAM Group,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::015927233739:group/Reviewers""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPAQHNKWJTF4PK64ZI6P""}]",,us-east-1,,68.197.65.214
7c48ee10-1691-4bd0-9b49-da221767df39,"2020-07-07, 05:45:57 PM",root,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrailReadOnlyAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,68.197.65.214
0dce4984-2cd3-4b69-a209-a1f3d8408361,"2020-07-07, 05:45:56 PM",root,CreateGroup,IAM Group,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPAQHNKWJTFXX47NFEEZ""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::015927233739:group/CloudTrailAdmins""}]",,us-east-1,,68.197.65.214
8650e4b7-bd5f-4f4b-ac1d-cbaeca283d0a,"2020-07-07, 05:45:56 PM",root,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrailFullAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,68.197.65.214
b1a8eac7-d962-4ff1-9833-89fb88e0985e,"2020-07-07, 05:43:20 PM",root,UpdateAccountPasswordPolicy,,,,us-east-1,,68.197.65.214
75403d4e-868c-4716-adcf-53f551c7a67a,"2020-07-07, 05:40:25 PM",root,ConsoleLogin,,,,us-east-1,,68.197.65.214
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
